Tract,Data2017.xlsx,Is an Opportunity Zone,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %",Cluster,Negative_SHAP_Features,Negative_SHAP_Values,Average Negative Shap,Number of Negative SHAP Values
536998,Data2024.xlsx,nan,davidson county,tennessee,2024,46,46,45,68,84.0,53.0,87,-0.5,16.1,80,48.8,183.6,89,4.1,17.3,39,72.2,69.3,68,91.7,94.6,17,56.7,42,44,34.0,53.0,6,-5.8,-38.5,44,,,51,-8.5,0,,,,62,60,71,44,1.3,1.1,24,20.0,28.0,18,16.7,-0.1,22,,,19,88.8,76.3,43,41.5,42.7,43,27.8,25.1,8,95,84.5,0,['Female Above Poverty Score'],[-7.460920056896284],-7.460920056896284,1
523305,Data2024.xlsx,nan,davidson county,tennessee,2024,50,54,47,71,60.0,82.0,53,-0.5,4.2,68,48.8,141.7,61,4.1,5.8,97,72.2,87.7,83,91.7,96.7,87,56.7,73.6,38,31.0,44.0,29,-5.8,-8.8,,,,33,-8.5,-14.3,14,3.6,1.6,74,60,81,44,1.3,1.1,42,71.0,14.0,71,16.7,97.5,,,,10,88.8,68.5,13,41.5,49.8,21,27.8,15.9,10,95,86.1,0,['Female Above Poverty Score'],[-7.305817449185997],-7.305817449185997,1
543486,Data2024.xlsx,nan,davidson county,tennessee,2024,50,53,46,64,54.0,75.0,48,-0.5,-5.3,61,48.8,72.7,64,4.1,6.3,56,72.2,73.9,93,91.7,98.3,87,56.7,73.9,38,44.0,33.0,54,-5.8,-4.8,27,,,52,-8.5,-6.7,5,3.6,1,59,60,68,34,1.3,0.9,46,61.0,30.0,66,16.7,31.6,56,,,15,88.8,72.9,57,41.5,40.4,,27.8,,17,95,89.1,0,['Female Above Poverty Score'],[-7.119944119695574],-7.119944119695574,1
588881,Data2024.xlsx,nan,davidson county,tennessee,2024,42,40,43,64,56.0,71.0,39,-0.5,-1.8,73,48.8,500.8,81,4.1,11.6,34,72.2,67.8,95,91.7,98.7,74,56.7,66.8,25,10.0,40.0,5,-5.8,-23.8,,,,14,-8.5,-35.3,,,,76,60,82,4,1.3,0.2,36,55.0,17.0,55,16.7,21.6,,,,19,88.8,76.3,14,41.5,49.3,,27.8,,17,95,89,0,['Female Above Poverty Score'],[-7.069183921609074],-7.069183921609074,1
522229,Data2024.xlsx,nan,davidson county,tennessee,2024,38,50,26,38,54.0,22.0,47,-0.5,0.2,61,48.8,77.1,8,4.1,0.5,17,72.2,61.3,8,91.7,76.9,57,56.7,59.3,27,33.0,21.0,27,-5.8,-12.5,24,,,49,-8.5,-2.3,17,3.6,1.8,12,60,15,34,1.3,0.9,49,64.0,34.0,44,16.7,13.5,83,,,32,88.8,82.9,47,41.5,41.9,,27.8,,24,95,91,2,"['Labor Market Engagement Index Score', 'Internet Access Score', 'Female Above Poverty Score']","[-4.6185844971239565, -9.318813012093306, -6.742560740001499]",-6.893319416406254,3
567743,Data2024.xlsx,nan,davidson county,tennessee,2024,52,57,48,60,60.0,60.0,55,-0.5,4.9,64,48.8,106,16,4.1,1.1,66,72.2,76.3,66,91.7,94.2,91,56.7,77.2,44,40.0,48.0,22,-5.8,-10.5,,,,57,-8.5,11.6,21,3.6,2,75,60,81,,,,54,71.0,37.0,71,16.7,38.8,,,,29,88.8,81.7,55,41.5,40.6,,27.8,,27,95,91.6,0,['Female Above Poverty Score'],[-6.888787910770625],-6.888787910770625,1
529390,Data2024.xlsx,Yes,davidson county,tennessee,2024,42,46,39,43,38.0,48.0,38,-0.5,0.1,,48.8,,63,4.1,6.2,25,72.2,64.7,7,91.7,75.3,99,56.7,90.7,47,46.0,48.0,63,-5.8,-5.5,34,,,40,-8.5,-20.5,8,3.6,1.2,85,60,89,52,1.3,1.3,38,54.0,22.0,69,16.7,38.7,38,,,27,88.8,80.9,9,41.5,51.5,,27.8,,29,95,92,0,"['New Businesses Score', 'Internet Access Score', 'Female Above Poverty Score']","[-0.3227352837100625, -11.189635402411222, -8.990596682503819]",-6.834322456208368,3
520936,Data2024.xlsx,nan,davidson county,tennessee,2024,50,55,45,62,62.0,62.0,75,-0.5,9.8,48,48.8,69.6,26,4.1,1.8,82,72.2,80.6,69,91.7,94.7,71,56.7,65.3,36,40.0,31.0,39,-5.8,-5.9,30,,,51,-8.5,-1.2,,,,28,60,36,34,1.3,0.9,53,64.0,42.0,43,16.7,18,85,,,24,88.8,79.2,47,41.5,42,,27.8,,54,95,95.4,0,"['Labor Market Engagement Index Score', 'Female Above Poverty Score']","[-5.15103095073253, -7.105603612586856]",-6.128317281659693,2
558527,Data2024.xlsx,nan,davidson county,tennessee,2024,54,48,59,54,47.0,62.0,55,-0.5,7.7,39,48.8,47.1,61,4.1,5.8,86,72.2,82,35,91.7,88.6,68,56.7,64.2,47,26.0,68.0,21,-5.8,-17.2,17,,,39,-8.5,-10.4,94,3.6,13.2,75,60,81,34,1.3,0.9,58,70.0,47.0,55,16.7,24.1,84,,,27,88.8,80.7,70,41.5,38.2,85,27.8,49.9,7,95,84.3,3,"['Minority/Women Owned Businesses Score', 'Internet Access Score', 'Female Above Poverty Score']","[-7.900375962974504, -1.8588963462598622, -8.50663558376953]",-6.088635964334632,3
568956,Data2024.xlsx,nan,davidson county,tennessee,2024,54,49,60,54,48.0,59.0,45,-0.5,-1.7,51,48.8,59.4,54,4.1,4.7,32,72.2,67,71,91.7,95,80,56.7,69.8,58,41.0,74.0,45,-5.8,-6,50,,,29,-8.5,-18.2,,,,96,60,97,52,1.3,1.3,52,57.0,47.0,51,16.7,15.6,63,,,37,88.8,84.8,73,41.5,37.8,,27.8,,31,95,92.4,3,['Female Above Poverty Score'],[-5.669321960862726],-5.669321960862726,1
535268,Data2024.xlsx,Yes,davidson county,tennessee,2024,38,43,32,37,15.0,59.0,15,-0.5,-32,,48.8,,76,4.1,9.4,99,72.2,91.3,2,91.7,63.9,,56.7,,36,39.0,34.0,7,-5.8,-21.9,41,,,68,-8.5,223.3,,,,25,60,32,44,1.3,1.1,38,75.0,2.0,67,16.7,139,83,,,,88.8,,2,41.5,58.6,,27.8,,1,95,74.5,2,"['Small Business Loans Score', 'Labor Market Engagement Index Score', 'Internet Access Score']","[-0.7168698054738343, -4.747877293154597, -11.146945262253285]",-5.5372307869605715,3
535272,Data2024.xlsx,Yes,davidson county,tennessee,2024,28,22,35,36,17.0,56.0,17,-0.5,-9,,48.8,,31,4.1,2.1,96,72.2,87.1,2,91.7,66.9,97,56.7,83.7,35,29.0,41.0,23,-5.8,-14.3,41,,,23,-8.5,-26.5,75,3.6,6.1,3,60,3,44,1.3,1.1,14,19.0,8.0,7,16.7,0.1,31,,,0,88.8,24,6,41.5,53.8,9,27.8,10.2,15,95,88.1,2,"['Minority/Women Owned Businesses Score', 'Labor Market Engagement Index Score', 'Internet Access Score']","[-2.1106207560375334, -3.800662708170712, -10.651847882615403]",-5.52104378227455,3
554871,Data2024.xlsx,nan,davidson county,tennessee,2024,30,36,24,39,50.0,28.0,41,-0.5,-1.8,59,48.8,100,37,4.1,2.7,3,72.2,50.7,24,91.7,85.6,50,56.7,56.6,28,33.0,23.0,52,-5.8,-2.6,17,,,30,-8.5,-16.7,,,,33,60,41,13,1.3,0.4,23,24.0,22.0,39,16.7,17.6,10,,,11,88.8,68.9,52,41.5,41.1,0,27.8,2.6,26,95,91.4,2,"['Labor Market Engagement Index Score', 'Internet Access Score', 'Female Above Poverty Score']","[-3.5866168510913847, -4.146167942695319, -8.38431416587904]",-5.372366319888582,3
570744,Data2024.xlsx,nan,davidson county,tennessee,2024,44,46,41,42,49.0,36.0,40,-0.5,-7.3,58,48.8,63.4,6,4.1,0.3,44,72.2,70.5,56,91.7,92.7,40,56.7,52.9,40,36.0,45.0,23,-5.8,-14.5,51,,,33,-8.5,-13,88,3.6,9.2,34,60,42,13,1.3,0.4,48,52.0,43.0,62,16.7,26.2,42,,,29,88.8,81.7,78,41.5,37,21,27.8,15.9,43,95,94.2,2,"['Minority/Women Owned Businesses Score', 'Labor Market Engagement Index Score', 'Female Above Poverty Score']","[-3.8976381198782475, -4.131542311049998, -7.220185047406703]",-5.0831218261116495,3
584314,Data2024.xlsx,nan,davidson county,tennessee,2024,45,51,39,69,74.0,64.0,74,-0.5,6.5,,48.8,,88,4.1,16.3,91,72.2,83.8,23,91.7,85.1,56,56.7,59,34,44.0,24.0,28,-5.8,-8.2,,,,59,-8.5,5.9,26,3.6,2.2,42,60,52,4,1.3,0.2,32,35.0,29.0,35,16.7,9.5,,,,25,88.8,79.9,48,41.5,41.8,,27.8,,15,95,88.4,0,"['Labor Market Engagement Index Score', 'Internet Access Score', 'Female Above Poverty Score']","[-2.6148279318213463, -4.064008067511022, -8.360409571323544]",-5.013081856885304,3
528532,Data2024.xlsx,Yes,davidson county,tennessee,2024,34,40,29,46,49.0,42.0,30,-0.5,-2.7,68,48.8,348.5,72,4.1,8.3,18,72.2,61.8,11,91.7,79.4,68,56.7,64,22,22.0,22.0,40,-5.8,-4.1,12,,,14,-8.5,-28.6,24,3.6,2.1,37,60,46,4,1.3,0.2,36,50.0,23.0,42,16.7,19.3,58,,,7,88.8,62.6,48,41.5,41.8,,27.8,,13,95,87.6,2,"['Labor Market Engagement Index Score', 'Internet Access Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-3.4423702152818443, -8.138665803149342, -7.671232457403094, -0.6859215943515301]",-4.984547517546453,4
519518,Data2024.xlsx,nan,davidson county,tennessee,2024,36,40,32,37,38.0,36.0,32,-0.5,-10.8,45,48.8,53.2,3,4.1,0.1,18,72.2,61.7,46,91.7,91,76,56.7,67.8,36,50.0,23.0,40,-5.8,-8.1,37,,,73,-8.5,39.7,39,3.6,2.9,17,60,22,13,1.3,0.4,35,32.0,38.0,35,16.7,12.8,30,,,23,88.8,78.7,75,41.5,37.5,19,27.8,15,35,95,93.1,2,"['Small Business Loans Score', 'Labor Market Engagement Index Score', 'Female Above Poverty Score']","[-0.9269163082260639, -4.711922067478299, -7.540067356275395]",-4.392968577326585,3
551374,Data2024.xlsx,nan,davidson county,tennessee,2024,50,48,51,57,64.0,50.0,58,-0.5,-1.2,70,48.8,77.4,49,4.1,3.9,44,72.2,70.5,20,91.7,84.2,88,56.7,74.8,58,42.0,74.0,62,-5.8,-5.5,29,,,35,-8.5,-32.8,45,3.6,3.3,93,60,95,85,1.3,2.9,33,38.0,28.0,46,16.7,15.4,29,,,25,88.8,79.8,33,41.5,44.4,42,27.8,24.7,14,95,87.8,0,"['New Businesses Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score']","[-0.22983222814276816, -0.9580499732494354, -6.569715416319668, -9.645841128006577]",-4.350859686429612,4
576780,Data2024.xlsx,nan,davidson county,tennessee,2024,44,49,38,57,68.0,46.0,63,-0.5,11.1,73,48.8,185.9,70,4.1,7.9,10,72.2,57.9,22,91.7,84.8,81,56.7,70,38,41.0,36.0,28,-5.8,-11.3,40,,,56,-8.5,3.8,43,3.6,3.2,12,60,15,52,1.3,1.3,36,38.0,33.0,26,16.7,6.6,49,,,16,88.8,74.1,41,41.5,43,,27.8,,42,95,94.1,0,"['Labor Market Engagement Index Score', 'Internet Access Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-4.131252640932798, -4.50549924004823, -8.252661564964802, -0.22130932983011006]",-4.277680693943984,4
533833,Data2024.xlsx,Yes,davidson county,tennessee,2024,53,62,44,70,73.0,67.0,73,-0.5,19.4,,48.8,,84,4.1,13.4,89,72.2,83.1,4,91.7,70.4,92,56.7,78.3,55,53.0,57.0,76,-5.8,0,45,,,39,-8.5,-14.8,80,3.6,6.8,16,60,20,76,1.3,2.2,34,60.0,7.0,67,16.7,85.7,54,,,1,88.8,33.6,1,41.5,62.7,,27.8,,20,95,90,0,"['New Businesses Score', 'Minority/Women Owned Businesses Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Internet Access Score']","[-1.3079025789070875, -3.2918891428690404, -4.747015800774097, -1.1413500617444514, -10.870508298855276]",-4.271733176629991,5
550691,Data2024.xlsx,nan,davidson county,tennessee,2024,60,66,55,72,71.0,72.0,59,-0.5,7.3,83,48.8,193.8,40,4.1,3,73,72.2,78.3,77,91.7,95.8,96,56.7,82,50,43.0,58.0,48,-5.8,-8.7,46,,,36,-8.5,-22.5,37,3.6,2.9,92,60,94,44,1.3,1.1,60,84.0,36.0,85,16.7,66.5,83,,,5,88.8,59.1,4,41.5,55.7,75,27.8,41,61,95,96.2,1,['Female Above Poverty Score'],[-4.254055761443451],-4.254055761443451,1
517656,Data2024.xlsx,nan,davidson county,tennessee,2024,41,44,38,42,46.0,38.0,39,-0.5,-6,52,48.8,65.7,20,4.1,1.3,30,72.2,66.4,57,91.7,92.9,43,56.7,54.1,46,50.0,42.0,39,-5.8,-9.5,53,,,59,-8.5,3.4,37,3.6,2.9,44,60,53,44,1.3,1.1,35,36.0,34.0,25,16.7,9.7,46,,,39,88.8,85.6,55,41.5,40.7,38,27.8,22.9,4,95,81.4,0,"['Labor Market Engagement Index Score', 'Female Above Poverty Score']","[-3.1586673329770565, -5.24425209781155]",-4.201459715394304,2
538743,Data2024.xlsx,nan,davidson county,tennessee,2024,42,46,37,32,33.0,32.0,33,-0.5,-43.3,,48.8,,49,4.1,4,38,72.2,68.8,4,91.7,71.7,36,56.7,50.9,48,56.0,39.0,89,-5.8,24.9,61,,,18,-8.5,-52.5,15,3.6,1.7,25,60,32,76,1.3,2.2,44,50.0,39.0,59,16.7,31.3,42,,,22,88.8,78.1,72,41.5,38,51,27.8,28.4,10,95,86.1,2,"['New Businesses Score', 'Spend Growth Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score']","[-1.2426618892047554, -0.5863446686742827, -4.232923283874989, -1.0603449381142855, -10.040368543360382, -7.55440843731165]",-4.119508626756724,6
